LATITUDE,LONGITUDE,API,USGSREGION,FORMATION,BASIN,BASINCODE,STATE,STATECODE,COUNTY,COUNTYCODE,FIELD,FIELDCODE,WELLNAME,WELLTYPE,DEPTHUPPER,DEPTHLOWER,DEPTHWELL,ELEVATION,SG,SPGRAV,SPGRAVT,RESIS,RESIST,PH,UNITS,TDSUSGS,TDS,chargebalance,B,Br,HCO3,Ca,Cl,I,K,Li,Mg,Na,SO4,Sr,Count Blank,Count Blank More
31.6347,-102.5481,42103053380000,West Texas and Eastern New Mexico,San Andres,Permian,430,Texas,42,Crane,103,Jordan,48-363967,Univ. 24#9,Conventional Hydrocarbon,3204,3564,3564,2752,1.052,1.052,60,0.138,74,8.91,mg/L,70964,70964,0.3,11,234.075,354.14,1800,38950,8.615,434,9,948,23617.72,5020,148,54,69
33.081,-103.5438,30025018760000,West Texas and Eastern New Mexico,Pennsylvanian,Permian,430,New Mexico,30,Lea,25,Wildcat,35-768291,Machris State #1,Conventional Hydrocarbon,10537,6412,10705,2752,1.105,1.105,60,0.062,75,6.3,mg/L,171350,171350,0.2,26.52,229.84,302.77,9724,102651.19,19.89,743.67,8.84,1074.06,54141.08,2348.13,707.2,53,68
31.303,-102.874,42371011910000,West Texas and Eastern New Mexico,Yates,Permian,430,Texas,42,Pecos,371,Payton,48-545289,Br Payton #10,Conventional Hydrocarbon,2200,6412,2096,2752,1.065,1.065,60,1.065,60,7.82,mg/L,101050,101050,0,24.5,52.19,579.36,1278,53810.19,8.615,205.55,8.52,1863.75,34303.46,9056.76,52.19,54,68
31.3834,-102.8717,42475000150000,West Texas and Eastern New Mexico,Queen,Permian,430,Texas,42,Ward,475,,,Unit Tract 3 #2,Conventional Hydrocarbon,6307,6412,2640,2515,1.059,1.059,60,1.059,60,6.62,mg/L,80552,80552,0,46.6,216.04,103.78,5633,48438.66,3.18,262.63,8.47,1749.47,22479.31,1991.98,121.79,53,67
32.5562,-102.7025,42165002510000,West Texas and Eastern New Mexico,Clear Fork,Permian,430,Texas,42,Gaines,165,Harris,48-307474,,Conventional Hydrocarbon,6307,6412,6410,3308,1.055,1.055,60.08,0.0995,75,7.79,mg/L,76999,76999,0,15.83,73.85,759.6,3122,44327.94,4.22,507.46,8.44,1486.5,23818.15,3152.34,43.26,53,70
32.4103,-101.8641,42317002780000,West Texas and Eastern New Mexico,San Andres,Permian,430,Texas,42,Martin,317,Wildcat,48-768291,Harry Lester #1,Conventional Hydrocarbon,4030,4065,8751,2655,1.054,1.054,60,0.106,82,6.68,mg/L,28260,28260,0,22.13,297.23,1350.17,3541,46714.33,3.16,268.77,8.43,1690.62,24749.56,2785.72,140.18,53,67
31.8466,-103.7804,42301000840000,West Texas and Eastern New Mexico,Delaware,Permian,430,Texas,42,Loving,301,"Tunstill, East",48-720997,T X L 17,Conventional Hydrocarbon,4200,6412,3728,2828,1.046,1.046,60.08,0.297,74,7.2,mg/L,67886,67886,-0.5,15.83,234.075,102.51,4225,41735.4,8.615,208.15,8.37,1295.99,19529.87,452.92,186.19,56,71
31.8764,-103.1675,42495045120000,West Texas and Eastern New Mexico,Permian,Permian,430,Texas,42,Winkler,495,Henderson,48-315837,H.e. Cummings d #1,Conventional Hydrocarbon,3046,6412,3060,2875,1.014,1.014,60,0.601,75,7.75,mg/L,11644,11644,0.2,1.01,234.075,507,811.2,4710.03,8.615,44.62,8.11,275.81,2893.85,2337.27,13.18,54,68
31.6725,-102.5557,42135057550000,West Texas and Eastern New Mexico,San Andres,Permian,430,Texas,42,Ector,135,Jordan,48-363967,Univ. 78 #2,Conventional Hydrocarbon,3596,6412,3631,2845,1.05,1.05,60,0.14,74,7.81,mg/L,71396,71396,0,8,234.075,1398,1840,37700,2,360,8,851,23634.26,5510,133,54,69
32.8532,-103.8764,30015103760000,West Texas and Eastern New Mexico,Jackson,Permian,430,New Mexico,30,Eddy,15,Jackson Grayburg,35-353006,H. E. Weck #29,Conventional Hydrocarbon,3756,3762,3810,2752,1.14,1.14,60,0.057,76,5.71,mg/L,227023,227023,0,22,128,451,6160,138100,1,1024,8,4030,75284.96,1910,17,53,68
